peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_group	Space_code
3.135416	1.0	1.0	1.0	1.920042	2.0	2.0	0.0	1.637418	3.0	1.0	1.0	1.108537	4.0	2.0	2.0	0.858669	6.0	2.0	0.0	0.917956	5.0	3.0	1.0	Fd3m	3
3.135555	1.0	1.0	1.0	1.920128	2.0	2.0	0.0	1.63749	3.0	1.0	1.0	1.108586	4.0	2.0	2.0	0.858707	6.0	2.0	0.0	0.917997	5.0	3.0	1.0	Fd3m	3
3.135243	1.0	1.0	1.0	1.919936	2.0	2.0	0.0	1.637327	3.0	1.0	1.0	1.108476	4.0	2.0	2.0	0.858622	6.0	2.0	0.0	0.917905	5.0	3.0	1.0	Fd3m	3
3.139053	1.0	1.0	1.0	1.92227	2.0	2.0	0.0	1.639317	3.0	1.0	1.0	1.109823	4.0	2.0	2.0	0.859665	6.0	2.0	0.0	0.919021	5.0	3.0	1.0	Fd3m	3
3.142633	1.0	1.0	1.0	1.924462	2.0	2.0	0.0	1.641187	3.0	1.0	1.0	1.111089	4.0	2.0	2.0	0.860646	6.0	2.0	0.0	0.920069	5.0	3.0	1.0	Fd3m	3
3.143961	1.0	1.0	1.0	1.925275	2.0	2.0	0.0	1.64188	3.0	1.0	1.0	1.111558	4.0	2.0	2.0	0.861009	6.0	2.0	0.0	0.920457	5.0	3.0	1.0	Fd3m	3
3.145404	1.0	1.0	1.0	1.926159	2.0	2.0	0.0	1.642634	3.0	1.0	1.0	1.112068	4.0	2.0	2.0	0.861404	6.0	2.0	0.0	0.92088	5.0	3.0	1.0	Fd3m	3
3.147425	1.0	1.0	1.0	1.927396	2.0	2.0	0.0	1.643689	3.0	1.0	1.0	1.112783	4.0	2.0	2.0	0.861958	6.0	2.0	0.0	0.921472	5.0	3.0	1.0	Fd3m	3
1.92835	1.0	1.0	1.0	1.67	2.0	0.0	0.0	1.007048	3.0	1.0	1.0	1.180868	2.0	2.0	0.0	0.964175	2.0	2.0	2.0	0.835	4.0	0.0	0.0	Fm3m	4
1.885687	1.0	0.0	1.0	0.773034	1.0	0.0	5.0	0.785539	2.0	1.0	1.0	0.791117	1.0	1.0	4.0	2.076	0.0	0.0	2.0	2.116566	1.0	0.0	0.0	P6_3mmc	0
2.359169	1.0	1.0	1.0	0.78639	5.0	1.0	1.0	2.0431	2.0	0.0	0.0	1.232036	3.0	1.0	1.0	1.44469	2.0	2.0	0.0	0.834092	4.0	2.0	2.0	Fm3m	4
2.354319	1.0	1.0	1.0	0.784773	5.0	1.0	1.0	2.0389	2.0	0.0	0.0	1.229503	3.0	1.0	1.0	1.44172	2.0	2.0	0.0	0.832377	4.0	2.0	2.0	Fm3m	4
2.359053	1.0	1.0	1.0	0.786351	5.0	1.0	1.0	2.043	2.0	0.0	0.0	1.231975	3.0	1.0	1.0	1.444619	2.0	2.0	0.0	0.834051	4.0	2.0	2.0	Fm3m	4
2.372332	1.0	1.0	1.0	0.790777	5.0	1.0	1.0	2.0545	2.0	0.0	0.0	1.23891	3.0	1.0	1.0	1.452751	2.0	2.0	0.0	0.838746	4.0	2.0	2.0	Fm3m	4
