   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   3    7    3   1.206267   -25.989126    -2.247903      26.0862   79.37185    0.15808    4
   4   12   -2   1.206190    -8.243910    -2.400604      8.58632   79.37793    0.01712    4
   6    2    2   1.205980   -12.791198    -3.279255      13.2049   79.39449    0.04049    4
   7    7    0   1.202865   -30.105759     2.431275      30.2038   79.64107    0.21080    4
   1    3    4   1.201718    40.831096     3.596664      40.9892   79.73223    0.38754    4
   8    0   -2   1.200562   -43.736478     5.795184      44.1187   79.82447    0.22409    2
   6    8    1   1.200351    14.959851    -0.521071      14.9689   79.84127    0.05157    4
   1   11   -3   1.199895   -51.870740    -4.342178      52.0522   79.87774    0.62320    4
   4    4    3   1.199740   -19.453386    -2.638100      19.6314   79.89013    0.08862    4
   7    3   -3   1.199449     3.296173    -1.220230      3.51479   79.91340    0.00284    4
   5   11   -2   1.199009   197.302674    11.113654      197.615   79.94866    8.97000    4
   4   12    1   1.197667    15.404806     2.534713      15.6119   80.05634    0.05587    4
   7    7   -2   1.196235    46.057644     4.780691      46.3051   80.17161    0.49040    4
   1   15    0   1.195647    -7.243823     2.094964      7.54068   80.21903    0.01299    4
   1   13    2   1.193513    37.516555    -0.547675      37.5206   80.39172    0.32064    4
   4   10   -3   1.193089   -42.937488    -1.003715      42.9492   80.42617    0.41986    4
   2   14    1   1.192716    31.933186    -1.985783      31.9949   80.45644    0.23287    4
   6   10    0   1.192161    16.783086     2.269429      16.9358   80.50158    0.06519    4
   8    2   -2   1.190110   -17.293551    -3.975076      17.7445   80.66888    0.07134    4
   8    0    0   1.189394   137.878477     8.766811      138.157   80.72746    2.16005    2
   3   13   -2   1.189055   -10.437893    -2.436256      10.7184   80.75524    0.02599    4
   5    3   -4   1.188220     5.645659     1.060218      5.74435   80.82374    0.00746    4
   8    4   -1   1.185925     2.308797    -2.268334      3.23665   81.01270    0.00236    4
   5    9   -3   1.184594    -9.218133     1.453130      9.33196   81.12268    0.01957    4
   4   10    2   1.179433    34.048948     2.561834      34.1452   81.55261    0.25997    4
   8    2    0   1.179229   -29.354673    -3.434016      29.5549   81.56970    0.19471    4
   3   11   -3   1.178011    -0.889259    -3.142037      3.26545   81.67196    0.00237    4
   0    6    4   1.176481   -14.677325    -2.152812      14.8344   81.80082    0.04886    4
   6    4    2   1.175014    25.224351     3.637689      25.4853   81.92484    0.14389    4
   1   15   -1   1.172505    49.554873     0.206431      49.5553   82.13782    0.54204    4
   7    5    1   1.171474    41.185866     7.399278      41.8452   82.22573    0.38591    4
   1    7   -4   1.168997    36.433910     3.320354      36.5849   82.43781    0.29393    4
   6   10   -2   1.168763    57.881788     3.629782      57.9955   82.45793    0.73839    4
   4    6   -4   1.167986    -3.290470    -1.666323      3.68834   82.52481    0.00298    4
   5   11    1   1.165182   -34.714377    -4.309920      34.9809   82.76696    0.26726    4
   3    7   -4   1.164807    28.062867     4.489189      28.4197   82.79942    0.17631    4
   2    0    4   1.162791   201.307294    10.552040      201.584   82.97472    4.42266    2
   1    5    4   1.161365    -4.278452    -2.302008      4.85844   83.09923    0.00513    4
   8    4   -2   1.160321    79.505725     4.453830      79.6304   83.19066    1.37547    4
   7    5   -3   1.159316   -22.021127     3.715099      22.3323   83.27882    0.10803    4
   1   15    1   1.156115   -74.869502    -4.065285      74.9798   83.56126    1.21240    4
   6    8   -3   1.153973     9.579968    -0.608257      9.59926   83.75137    0.01981    4
   2    2    4   1.153287   -33.012010    -4.179505      33.2755   83.81249    0.23786    4
   0   14    2   1.152541    36.696070     3.365472      36.8501   83.87907    0.29141    4
   7    9   -1   1.151156    12.342948     3.134577      12.7348   84.00306    0.03474    4
   2   14   -2   1.150528    -9.805998     1.754964       9.9618   84.05937    0.02124    4
   8    4    0   1.150229    24.509053     3.306912      24.7311   84.08619    0.13084    4
   4    6    3   1.150153   -76.863317     1.278033      76.8739   84.09306    1.26410    4
   1   11    3   1.149440    -1.521124    -2.993328      3.35765   84.15720    0.00241    4
   2   10    3   1.149413   -83.081613    -3.011901      83.1362   84.15965    1.47696    4
   5    5   -4   1.149167   -16.952609    -3.071891      17.2287   84.18173    0.06341    4
   6    0   -4   1.146554    17.244108     4.311743       17.775   84.41791    0.03363    2
   2   12   -3   1.141892    18.692090     2.484544      18.8565   84.84298    0.07523    4
   2    8   -4   1.140156    -3.421994     1.371913      3.68676   85.00247    0.00287    4
   8    6   -1   1.137964   -37.448915     1.661496      37.4858   85.20491    0.29579    4
   6    2   -4   1.137440   -29.228989    -3.728565      29.4658   85.25351    0.18264    4
